participantId,TaskId,x,y,right_pupil_diameter,left_pupil_diameter,right_validation,left_validation,tracker_time,event_id,website_result,website_url,duration,fixationId
5,Peyton,1206.621,369.034,3.18104553222656,3.09162902832031,1,1,1619038474074138,132635117893390433,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,466,73
5,Peyton,573.378,413.243,3.25987243652344,3.12364196777344,1,1,1619038474724052,132635117899890380,Comment Body-issue-64188831--1ms,https://github.com/opensim-org/opensim-core/pull/894,599,74
5,Peyton,685.385,412.846,3.21185302734375,3.1522216796875,1,1,1619038475357300,132635117906223612,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,199,75
5,Peyton,561.615,431.462,3.25508117675781,3.19633483886719,1,1,1619038475590607,132635117908556240,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,416,76
5,Peyton,694.500,418.333,3.26223754882813,3.19758605957031,1,1,1619038476040548,132635117913054814,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,183,77
5,Peyton,908.455,417.909,3.22048950195313,3.05929565429688,1,1,1619038476273850,132635117915388681,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,166,78
5,Peyton,1118.917,408.667,3.29428100585938,3.16824340820313,1,1,1619038476473821,132635117917387827,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,383,79
5,Peyton,991.000,408.450,3.08992004394531,3.06950378417969,1,1,1619038476907103,132635117921720744,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,316,80
5,Peyton,1209.667,413.000,3.16740417480469,3.09834289550781,1,1,1619038477273718,132635117925386910,Comment Body-issue-64188831--1ms,https://github.com/opensim-org/opensim-core/pull/894,483,81
5,Peyton,552.321,458.393,3.29852294921875,3.23143005371094,1,1,1619038477823645,132635117930886657,Comment Body-issue-64188831--1ms,https://github.com/opensim-org/opensim-core/pull/894,449,82
5,Peyton,651.357,449.643,3.15908813476563,3.1448974609375,1,1,1619038478306917,132635117935719448,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,216,83
5,Peyton,889.100,427.900,3.16531372070313,3.134033203125,1,1,1619038478573548,132635117938385516,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,149,84
5,Peyton,971.357,414.571,3.18348693847656,2.99180603027344,1,1,1619038478756857,132635117940218812,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,216,85
5,Peyton,887.417,423.292,3.15391540527344,3.15599060058594,1,1,1619038479006827,132635117942718244,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,383,86
5,Peyton,1042.722,427.556,3.15138244628906,3.02507019042969,1,1,1619038479423437,132635117946884223,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,283,87
5,Peyton,603.000,458.333,3.20849609375,3.10610961914063,1,1,1619038479856713,132635117951218432,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,183,88
5,Peyton,560.333,460.333,3.13534545898438,3.12911987304688,1,1,1619038480073355,132635117953383801,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,133,89
5,Peyton,728.619,455.952,3.11393737792969,3.16714477539063,1,1,1619038480256660,132635117955216790,Comment Body-issue-64188831--1ms,https://github.com/opensim-org/opensim-core/pull/894,333,90
5,Peyton,870.440,443.200,3.17112731933594,3.11875915527344,1,1,1619038480623281,132635117958883067,Comment Body-issue-64188831-0ms,https://github.com/opensim-org/opensim-core/pull/894,399,91
5,Peyton,983.692,435.231,3.08036804199219,3.0035400390625,1,1,1619038481056560,132635117963215845,Comment Body-issue-64188831--1ms,https://github.com/opensim-org/opensim-core/pull/894,199,92
